ts,mode,action,side,price,size_contracts,notional_usdt,note,api_response
2025-11-16T14:10:45.461243,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:10:48.071095,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:11:18.624416,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:11:19.232443,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:12:07.863275,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:12:15.490116,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:12:54.069023,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:12:54.673280,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:13:53.334093,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:13:56.947264,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:14:40.602326,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:14:41.205191,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:22:12.267334,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:22:16.882931,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:22:47.360958,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:22:49.066053,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:23:33.642891,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:23:44.278831,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:24:28.875408,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:46:22.380471,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:47:21.974230,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:53:22.790879,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T14:55:22.530578,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T14:59:23.173001,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T15:00:22.844385,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T15:09:23.816470,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T15:12:23.255248,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T15:45:25.502995,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T15:48:25.125077,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T15:53:26.014793,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T15:54:25.618622,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T16:01:26.439624,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T16:03:25.988284,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T16:07:26.454161,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T16:08:26.164201,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T16:16:27.110645,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T16:17:26.598635,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T16:22:27.295357,DRY,ORDER,sell,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T16:23:26.922159,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T16:30:27.793427,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T16:32:27.442960,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T17:49:45.110973,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T18:05:30.882235,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T18:09:30.672279,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T18:44:26.332517,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T18:48:26.088320,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T19:11:27.910005,DRY,ORDER,sell,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""sell"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T19:15:27.852973,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T19:22:28.715853,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T19:26:28.493251,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T19:37:29.544332,DRY,ORDER,buy,,0.000052,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000052"", ""tdMode"": ""cross""}}"
2025-11-16T19:41:29.318417,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T20:02:30.959062,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T20:06:30.754355,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T20:49:33.455630,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T20:53:33.345611,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
2025-11-16T21:00:34.175790,DRY,ORDER,buy,,0.000053,,simulated_market_order,"{""sim"": true, ""body"": {""instId"": ""BTC-USDT-SWAP"", ""side"": ""buy"", ""ordType"": ""market"", ""sz"": ""0.000053"", ""tdMode"": ""cross""}}"
2025-11-16T21:04:33.924361,DRY,EXIT,BOTH,,,,simulated_exit,"{""sim"": true, ""note"": ""simulated_exit""}"
